"","day","temp","dewp","max","min","NUM_REPORTS"
"5229",7,47.1,30.3,57,39,130
"5230",1,49.1,31.6,57,39,122
"5231",2,49.1,34.3,60.1,37.9,124
"5232",3,52.3,35.4,64,37.9,112
"5233",4,48,34.8,64,42.1,89
"5234",5,52.2,38,64.9,39.9,135
"5235",6,64.9,38.4,79,39.9,134
"5236",7,70.1,42.9,82,53.1,159
"5237",1,67.8,55,82,60.1,130
"5238",2,56.1,48.3,73.9,52,103
"5239",3,60.1,53.5,82,51.1,122
"5240",4,71.2,52.9,87.1,51.1,128
"5241",5,73.9,61.8,87.1,57,145
"5242",6,60.4,56.3,68,51.8,139
"5243",7,50.3,46.9,66.9,46.9,164
"5244",1,59.9,54.5,71.1,46.9,137
"5245",2,54.2,39.5,71.1,50,123
"5246",3,49.6,35.3,57.9,45,99
"5247",4,55.3,40.4,69.1,45,103
"5248",5,67.6,58.2,79,46,136
"5249",6,72.9,63.9,82,60.1,176
"5250",7,74.9,66.4,84,66.9,160
"5251",1,74.6,59.6,84,66.9,121
"5252",2,51.4,37.4,63,48,111
"5253",3,46.2,30.9,54,43,110
"5254",4,54.7,37.9,70,43,103
"5255",5,60.5,37.5,70,46.9,111
"5256",6,65.7,37.6,82.9,50,131
"5257",7,68.8,51.7,82.9,53.1,142
"5258",1,74.3,63.4,81,62.1,158
"5259",2,73.3,64.3,81,68,144
"5260",3,70.9,60.2,77,66.9,122
"5261",4,72,55.7,84,60.1,116
"5262",5,75.7,62.5,84,60.1,111
"5263",6,66,60.4,84,48.9,132
"5264",7,48.7,42.8,55.9,44.1,130
"5265",1,53.5,42.4,62.1,44.1,152
"5266",2,58,42.8,71.1,45,131
"5267",3,65.3,50.1,79,45,97
"5268",4,71,58,82,55,92
"5269",5,66.8,57.6,82,59,116
"5270",6,62.4,51.4,73,54,125
"5271",7,68.2,59.9,82.9,54,137
"5272",1,74.9,64.3,86,60.1,113
"5273",2,72,57.5,87.1,61,105
"5274",3,81.7,64.6,93.9,61,130
"5275",4,72.1,60.1,77,66,111
"5276",5,65.9,63.2,79,59,112
"5277",6,69.7,62.8,87.1,57.2,156
"5278",7,75.9,69.9,88,57.9,170
"5279",1,76.4,71.8,84.9,70,103
"5280",2,70.4,60.2,82.9,66,132
"5281",3,63.5,52.5,72,57.9,111
"5282",4,74.5,67.1,82,57.9,111
"5283",5,63.1,53.5,82,57,109
"5284",6,67.4,57.1,82,57,156
"5285",7,76.8,66.6,87.1,57,194
"5286",1,78.3,71.4,87.1,70,149
"5287",2,77.2,61.9,84.9,70,116
"5288",3,72.3,57.4,81,66,110
"5289",4,73.4,65.2,82.9,66,130
"5290",5,66.3,61.6,82.9,63,133
"5291",6,66.5,54,77,59,112
"5292",7,70,51.7,81,57.9,160
"5293",1,70.6,63,81,57.9,121
"5294",2,70.7,62.3,80.1,64.9,132
"5295",3,62.6,53.7,80.1,59,111
"5296",4,62.8,54,70,55.4,106
"5297",5,68,54,77,55.9,110
"5298",6,72.2,56.2,84,61,160
"5300",1,78.4,65.7,88,64.9,123
"5301",2,69,57.5,88,59,105
"5302",3,62.5,50.6,73.9,59,101
"5303",4,66.3,57.4,73.9,59,89
"5304",5,71.5,57,82,61,91
"5305",6,73.7,57.2,82,63,155
"5306",7,75,65.4,82.9,64.9,155
"5307",1,78,67.6,88,69.1,99
"5308",2,78,66.1,88,70,109
"5309",3,68.2,52.4,84,62.1,97
"5310",4,69.4,57.2,79,62.1,110
"5311",5,80,70.8,93,63,125
"5312",6,82.5,70.8,93,73.9,158
"5313",7,82.1,68.8,93,75.9,167
"5314",1,77.6,61.5,89.1,68,129
"5315",2,77.1,57.7,89.1,68,137
"5316",3,75.9,54.3,84,66.9,126
"5317",4,77.7,56,86,66.9,143
"5318",5,79.2,59.2,87.1,66.9,120
"5319",6,80.8,66.7,91.9,69.1,127
"5320",7,77.4,64.7,91.9,71.1,169
"5321",1,80.3,64.2,90,71.1,132
"5322",2,82.9,66.1,93.9,71.1,116
"5323",3,83.3,65.7,93.9,73.9,119
"5324",4,80,54.5,90,69.1,136
"5325",5,80.7,55.8,90,69.1,114
"5326",6,78.2,52.9,90,66,180
"5327",7,82.5,64.6,95,66,157
"5328",1,77.8,59,95,68,112
"5329",2,75,53.2,84,64,116
"5330",3,75.6,56.5,84,64,117
"5331",4,76.2,60,84,64.9,129
"5332",5,76.4,57.5,84.9,68,134
"5333",6,78.1,62,84.9,68,142
"5334",7,74.6,65.5,84.9,70,136
"5335",1,77.8,67.6,86,70,135
"5336",2,75,62.1,86,68,124
"5337",3,72.7,57.4,82,64.9,125
"5338",4,75.6,59.9,86,64.9,137
"5339",5,79.4,65.9,90,66.9,119
"5340",6,78,67.2,90,70,143
"5341",7,80.7,68.1,91,72,166
"5342",1,81.2,67.3,91,72,118
"5343",2,75.8,66.7,90,70,113
"5344",3,73.9,62.6,81,69.8,106
"5345",4,67.2,52,75,60.8,104
"5346",5,71.7,53.3,84,60.1,106
"5347",6,75.3,55.5,84,60.1,128
"5348",7,74.1,58.9,82.9,66,156
"5349",1,67.4,48.8,79,57,105
"5350",2,65.4,47.6,75.9,57,99
"5351",3,64.2,52,73,59,89
"5352",4,65.5,52.8,75,55.9,97
"5353",5,68.8,57.3,75.9,55.9,111
"5354",6,70.8,62.3,75.9,62.1,137
"5355",7,71,63.9,78.1,66,140
"5356",1,74.8,65.4,87.1,64.9,108
"5357",2,80.8,69.8,89.1,64.9,147
"5358",3,82.2,69,91.9,73,117
"5359",4,83.9,67.6,93,73,127
"5360",5,76.9,66.9,93,72,114
"5361",6,76.9,66.5,87.1,72,137
"5362",7,82.8,65.7,93.9,73,159
"5363",1,83.6,66.9,93.9,73.9,160
"5364",2,80,69.1,90,73.9,106
"5365",3,72.4,61.2,88,68,103
"5366",4,66.6,56.2,78.1,59,108
"5367",5,63.4,56,77,59,111
"5368",6,59.2,46,69.1,54,134
"5369",7,60.3,44,71.1,50,133
"5370",1,67.4,47.9,82.9,50,124
"5371",2,73.7,52,84,55.9,100
"5372",3,73.5,51.3,84,61,99
"5373",4,75,58,87.1,61,109
"5374",5,74.2,66.4,87.1,66,110
"5375",6,66.8,56.8,79,59,134
"5376",7,62.4,48.6,72,53.1,141
"5377",1,64.5,48.8,73,53.1,119
"5378",2,67.8,50.7,81,55.9,122
"5379",3,70.6,51,81,57,119
"5380",4,69.7,55.7,80.1,61,91
"5381",5,69.6,57.8,78.1,62.1,111
"5382",6,69.2,57.5,75.9,61,125
"5383",7,70.1,58.7,75.9,61,128
"5384",1,72.4,62.9,81,66.9,98
"5385",2,67.6,58.6,81,60.1,86
"5386",3,59.2,44.2,72,55.9,85
"5387",4,57.4,41.3,63,54,107
"5388",5,56.6,40,62.1,53.1,88
"5389",6,52.9,39.1,59,50,102
"5390",7,53.4,46.3,60.1,48.9,117
"5391",1,58.4,53.2,61,51.1,90
"5392",2,60.8,54.1,68,57,90
"5393",3,62.3,53.8,73,55.9,93
"5394",4,64.5,52.1,79,55,94
"5395",5,62,50.4,79,55,109
"5396",6,55.6,42.6,66.9,45,120
"5397",7,63.3,45.4,80.1,45,139
"5398",1,68.2,47.1,80.1,53.1,117
"5399",2,57.5,40.5,77,51.1,106
"5400",3,54.4,38.7,64.9,45,98
"5401",4,57.3,35.1,71.1,45,84
"5402",5,51.1,28.9,71.1,44.1,99
"5403",6,44.8,21.5,55.9,36,108
"5404",7,46.8,26.9,61,35.1,147
"5405",1,57.7,29,73.9,35.1,108
"5406",2,65,36.3,77,46.9,98
"5407",3,66.2,49.5,77,55,115
"5408",4,61.2,48.1,77,55.9,99
"5409",5,57.4,43.2,64,54,79
"5410",6,63.8,56.7,68,54,124
"5411",7,52.8,38.1,68,42.1,129
"5412",1,52.2,37.6,63,42.1,106
"5413",2,54.7,41.5,62.1,42.1,95
"5414",3,53.8,49.5,57.9,46,92
"5415",4,42.2,31.5,57.9,37.9,88
"5416",5,46.9,35.8,57,37,93
"5417",6,48.8,41,57,37,124
"5418",7,54.7,42.9,64.9,46,144
"5419",1,60.3,43.2,73.9,46,127
"5420",2,61,49,73.9,50,119
"5421",3,60.3,53.5,73,50,107
"5422",4,65.6,56.2,73,50,111
"5423",5,55.8,46.9,71.1,46,92
"5424",6,46.4,33.8,66.9,37.9,109
"5425",7,44,26.4,55,34,118
"5426",1,46.1,28,55.9,34,104
"5427",2,48.9,33.4,57.9,35.1,96
"5428",3,51.7,35.6,64,37.9,90
"5429",4,49.7,40.6,64,43,85
"5430",5,43.3,26.1,57.9,37,89
"5431",6,42.3,25.6,57.9,30.9,103
"5432",7,54.1,32.6,66,30.9,122
"5433",1,53.1,33.8,66,44.1,100
"5434",2,53.1,47.2,60.1,48,89
"5435",3,60.1,49.2,63,48.9,107
"5436",4,46,29.7,63,41,99
"5437",5,38.2,16.1,50,33.1,91
"5438",6,33.6,30.1,43,28.9,91
"5439",7,21.4,13.2,35.1,12.9,96
"5440",1,31,21.6,39,12.9,101
"5441",2,34.7,27.1,45,26.1,89
"5442",3,44.7,32.2,53.1,26.1,86
"5443",4,55,46,62.6,50,133
"5444",5,47.6,42.1,62.1,37.9,98
"5445",6,39,29.3,39.9,37,123
"5446",7,36.8,27.7,43,30,118
"5447",1,42.1,29.7,46,30,102
"5448",2,43.5,35.8,46,39,115
"5449",3,36.5,30.1,45,33.1,97
"5450",4,34.2,26.9,39,30.9,101
"5451",5,38.3,31.5,48,30.9,98
"5452",6,36.3,30.8,48,30,133
"5453",7,38.7,31.2,48,30,117
"5454",1,37.2,33.2,48,32,101
"5455",2,41.9,36.1,46.9,33.1,94
"5456",3,48.2,39.8,54,43,94
"5457",4,50,37.8,60.1,43,103
"5458",5,49.1,34.3,60.1,43,78
"5459",6,55.3,49.8,60.1,44.1,127
"5460",7,59.7,55.1,64,51.1,124
"5461",1,56.5,50,64,46.9,118
"5462",2,43.2,35.3,46.9,41,99
"5463",3,45.1,37.6,55,42.1,87
"5464",4,34.9,22.9,55,30.9,96
"5465",5,29.8,16.5,36,26.1,93
"5466",6,25.3,12.1,33.1,17.1,106
"5467",7,37.8,22.2,51.1,17.1,136
"5468",1,47.8,39.3,54,28,97
"5469",2,41.6,37,54,37,94
"5470",3,50.6,46.1,61,37,95
"5471",4,43.2,33.3,57.9,35.6,138
"5472",5,41.2,32.6,46,36,134
"5473",6,41.6,34.5,46,36,140
"5474",7,41.2,35.4,45,36,115
"5475",1,35.4,27.7,43,32,103
"5476",2,35.5,30.3,42.1,32,112
"5477",3,30.3,22.9,41,28,115
"5478",4,28.5,20.4,28.9,28,107
"5480",6,28.6,19.2,33.1,21.9,102
"5481",7,28.8,18.7,33.1,24.1,122
"5482",1,28.5,17.3,32,25,97
"5483",2,27.5,16.9,34,21,85
"5484",3,31.1,20.3,39,25,80
"5485",4,38.6,24.3,43,36,99
"5486",5,41.9,34.6,45,39,98
"5487",6,40.5,37.2,46.4,33.1,116
"5488",7,20.6,13.1,34,8.1,112
"5489",1,8.3,-0.8,21.9,1.9,83
"5490",2,16.2,6.3,26.6,8.1,78
"5491",3,9,-0.1,24.1,1.9,92
"5492",4,33.9,24.8,45,23,105
"5493",5,41.1,34.5,45,34,123
"5494",6,30.4,20.3,34,27,98
"5495",7,9.6,-3.8,25,3.2,116
"5496",1,2.8,-10.8,10,-2,83
"5497",2,8.1,-5.3,18,1.9,91
"5498",3,18.8,8.5,25,12.9,99
"5499",4,21.3,12.6,32,16,89
"5500",5,27.3,18.6,32,21,88
"5501",6,30,19,35.6,25,111
"5502",7,29.1,18.3,37,24.1,128
"5503",1,34.3,25.4,41,28.9,112
"5504",2,33.5,27,43,28.9,95
"5505",3,29.1,16.6,34,26.1,102
"5506",4,35.7,26,41,33.1,81
"5507",5,30.5,14.5,36,24.1,94
"5508",6,39.9,29,48.9,34,129
"5509",7,44.6,39.2,48.9,39.9,127
"5510",1,37.1,30.2,46.9,30.9,144
"5511",2,37.1,31.5,42.1,35.1,82
"5512",3,37.3,33.6,39.9,33.1,91
"5513",4,28.1,16.6,33.1,21,91
"5514",5,30.5,20.7,34,27,96
"5515",6,32.3,22.4,42.1,26.1,121
"5516",7,39.8,28.6,46,34,129
"5517",1,32.4,23.4,43,28,75
"5518",2,20.4,11.8,28,17.1,89
"5519",3,15.2,2.4,19,10.9,88
"5520",4,15.4,-0.8,24.1,9,81
"5521",5,21,5.2,25,18,85
"5522",6,11.5,-9,19,3.9,102
"5523",7,15.8,1.9,19,12.9,103
"5524",1,22.5,17.7,28.9,17.1,105
"5525",2,29.2,22.3,37,26.1,80
"5526",3,30.8,20.9,36,27,128
"5527",4,32.5,21.3,42.1,26.1,106
"5528",5,50.2,34.6,64.9,39.9,94
"5529",6,51.2,30.9,60.1,42.1,142
"5530",7,41.5,30.9,53.1,36,138
"5531",1,36.7,25.5,45,28,111
"5532",2,37.9,24.6,46,30.9,101
"5533",3,36.4,26.2,39.9,32,102
"5534",4,34.4,23.8,37.9,32,109
"5535",5,32.7,15.3,35.1,28,120
"5536",6,38.1,24.4,55,28,118
"5537",7,52.2,36.5,64,44.1,118
"5538",1,42.1,28.9,60.1,34,116
"5539",2,29.8,22.8,36,24.1,119
"5540",3,23.2,6.8,33.1,14,93
"5541",4,31.2,23.5,33.1,28.9,80
"5542",5,31.9,19.4,39,23,103
"5543",6,34.6,27.1,39.9,28.9,118
"5544",7,40.8,29.1,53.1,35.1,120
"5545",1,52.6,38.9,62.1,46.9,127
"5546",2,63.2,48,73,57.9,105
"5547",3,62.1,53.8,69.1,59,115
"5548",4,50.1,40.1,60.1,45,107
"5549",5,44.1,33,53.1,37,105
"5550",6,46.1,37.3,60.1,37.9,149
"5551",7,48,43.5,51.1,46,146
"5552",1,46.3,43.6,54,43,105
"5553",2,52.1,45.1,64,46.9,104
"5554",3,54.7,40.6,61,48.9,125
"5555",4,50,27.3,57.9,43,126
"5556",5,42.9,26.6,53.1,35.1,93
"5557",6,39.5,29.6,46.9,36,117
"5558",7,38.8,25.5,45,33.1,148
"5559",1,40.1,22.9,50,32,109
"5560",2,52.1,30.6,66.9,45,133
"5561",3,45.7,35.9,63,39.9,116
"5562",4,38.7,36.8,43,34,112
"5563",5,35.8,25.6,45,30.9,107
"5564",6,42.7,31.7,55,35.1,135
"5565",7,50.2,37.9,66,42.1,158
"5566",1,46.2,36,53.1,44.1,132
"5567",2,45.9,30.4,60.1,35.1,105
"5568",3,51.4,34.1,62.1,46,119
"5569",4,60.9,54,70,55,125
"5570",5,45.1,36.9,55,39.9,145
"5571",6,36.8,23.8,43,32,106
"5572",7,43.1,20.7,72,28.9,119
"5574",2,36.1,17.5,46.9,28.9,103
"5575",3,46.3,36,50,43,127
"5576",4,41.3,33.4,46.9,35.1,106
"5577",5,38.9,26.7,44.1,35.1,87
"5578",6,31.1,14.1,37.9,24.1,126
"5579",7,39.1,26.7,48.9,33.1,141
"5580",1,49.3,37.6,52,46,99
"5581",2,41.4,21,50,33.1,98
"5582",3,44.7,26.6,57,37,117
"5583",4,50.2,27.3,61,39.9,111
"5584",5,55.2,32.5,69.1,45,116
"5585",6,61,38.1,77,48,132
"5586",7,64.7,38.7,80.1,51.1,156
"5587",1,68.2,38.1,82.9,53.1,120
"5588",2,55.9,40,73,48,118
"5589",3,61.5,40.7,73,54,105
"5590",4,62.8,52.1,71.1,57.9,111
"5591",5,52.2,43.1,60.1,44.1,127
"5592",6,49.4,37.7,60.1,42.1,132
"5593",7,59.6,42.6,80.1,46,165
"5594",1,72.6,51.2,84,62.1,129
"5595",2,54.5,44.6,81,44.1,112
"5596",3,46.4,39,50,43,118
"5597",4,47.7,41.4,51.1,44.1,125
"5598",5,46.7,39.7,51.1,44.1,99
"5599",6,46.6,40.1,50,45,110
"5600",7,46.9,43.7,51.1,44.1,167
"5601",1,49.8,38.8,57.9,44.1,105
"5602",2,55,35,68,42.1,119
"5603",3,52.2,39,64.9,46,116
"5604",4,49.5,35.9,61,42.1,96
"5605",5,61.6,40.6,82.9,46,119
"5606",6,65.1,40.7,82,54,142
"5607",7,57.2,30.7,69.1,45,170
"5608",1,57.2,44.3,66,52,127
"5609",2,57.4,54.1,71.1,51.1,115
"5610",3,60.4,56.8,69.1,55,104
"5611",4,63.4,55.8,71.1,55.9,106
"5612",5,59.3,43.5,66.9,50,115
"5613",6,47.7,35.4,62.1,43,130
"5614",7,47.3,26.9,57,37.9,149
"5615",1,57.1,33.8,71.1,46.9,110
"5616",2,55.4,41.3,66,50,97
"5617",3,54.2,36.6,66,45,109
"5618",4,57.5,32,69.1,44.1,108
"5619",5,60.8,37.5,68,53.1,131
"5620",6,64.5,34.8,75.9,55.9,132
"5621",7,67.2,40.7,78.1,54,155
"5622",1,68.5,39.9,84,54,116
"5623",2,75.7,45.2,89.1,64,132
"5624",3,77.9,58.8,89.1,66.2,134
"5625",4,73.2,63.2,84.9,64.9,130
"5626",5,76.1,64,84,69.1,139
"5627",6,75.1,64.2,82.9,70,132
"5628",7,74.9,59,82,64.9,146
"5629",1,75.9,57.2,87.1,64.9,195
"5630",2,73.4,56.9,84,66,119
"5631",3,69.9,61.7,81,64.9,151
"5632",4,72.6,53.2,80.1,62.1,133
"5633",5,72.7,52.1,84,63,133
"5634",6,72.1,57,81,66.9,172
"5635",7,70.5,57.4,81,63,147
"5636",1,73,53.1,84,62.1,124
"5637",2,64,48,77,57.9,111
"5638",3,61.5,48,70,54,102
"5639",4,63.9,50.8,73,57.9,125
"5640",5,77.2,62.2,93.9,64.9,99
"5641",6,85.2,62.4,93,75,177
"5642",7,72.8,49.3,91,64.9,166
"5643",1,71.1,48.3,88,60.1,133
"5644",2,77.2,58.5,88,69.1,129
"5645",3,80.6,67.6,91.9,69.1,128
"5646",4,75.2,62,90,66.9,131
"5647",5,72.5,54.2,86,63,136
"5648",6,76.3,50.8,88,64,138
"5649",7,80.4,56.4,91,70,162
"5650",1,84.6,66.8,91.9,79,183
"5651",2,77.1,51.2,91,66,144
"5652",3,73.3,59.2,82.9,68,132
"5653",4,72.3,65.8,80.1,69.1,144
"5654",5,73.3,57.9,82,66.9,131
"5655",6,79.5,61.5,91,71.1,145
"5656",7,82.8,67.8,90,75,165
"5657",1,81.9,59.9,91,73,124
"5658",2,69.3,52.9,78.1,64,120
"5659",3,67.9,48.9,78.1,57,123
"5660",4,72.3,48.1,79,64,108
"5661",5,69.6,55.6,77,64.9,133
"5662",6,67.9,45.9,77,59,132
"5663",7,70.4,52,78.1,62.1,139
"5664",1,71.9,59.8,81,66,176
"5665",2,77.2,64.5,88,69.1,170
"5666",3,79.1,66.8,89.1,68,142
"5667",4,78.4,68.5,84,72,119
"5668",5,78.6,66.6,88,69.8,114
"5669",6,74.5,58,84,66.9,134
"5670",7,74.2,56.6,84,64,157
"5671",1,81.3,64.9,91.9,73,117
"5672",2,82.9,69,90,75.9,126
"5673",3,79.1,68.3,87.1,73,113
"5674",4,76.5,64.8,88,69.1,107
"5675",5,72.6,58.3,84,66.9,126
"5676",6,69.3,55.7,77,62.1,125
"5677",7,73.9,59.3,86,66.9,147
"5678",1,78.8,67.5,87.1,70,126
"5679",2,79.6,63.8,88,70,102
"5680",3,80.7,66.8,89.1,73.9,119
"5681",4,82.5,72.8,90,75.9,106
"5682",5,81.1,70.9,91,73.9,119
"5683",6,86,74.3,91.9,79,138
"5684",7,80.4,72.5,93,71.6,140
"5685",1,79.6,65.3,87.1,73.9,114
"5686",2,80.9,62.9,87.1,73,145
"5687",3,81.5,63.3,90,71.1,124
"5688",4,78.8,66.9,84,72,104
"5689",5,75.3,69.1,82,70,108
"5690",6,74.2,65.5,79,71.1,156
"5691",7,74.4,64.2,82,66.9,135
"5692",1,76.5,65.5,82.9,70,140
"5693",2,79.2,65.4,88,73,139
"5694",3,81.8,65.7,90,73.9,119
"5695",4,83.5,65.3,91.9,75,136
"5696",5,80.1,67.7,89.1,75,131
"5697",6,76.6,61,82.9,66.9,168
"5698",7,75.6,58.4,84,66,157
"5699",1,78.6,61.5,84.9,73.9,117
"5700",2,79.9,60.7,90,71.1,107
"5701",3,83.1,65.2,91,73.9,115
"5702",4,84.6,69.6,93.9,77,146
"5703",5,81.5,73.6,88,75,93
"5704",6,78.4,71.9,84.9,75,141
"5705",7,78.4,64.4,84.9,69.1,153
"5706",1,75.5,67.2,82.9,72,131
"5707",2,76.4,68.5,84,71.6,133
"5708",3,79.1,65.9,88,71.1,118
"5709",4,79.1,69,86,72,126
"5710",5,76.6,65.6,84.9,71.1,122
"5711",6,75.8,68.1,82.4,71.1,148
"5712",7,68.5,54.9,77,61,138
"5713",1,69.6,52,79,59,96
"5714",2,73.6,58,82,64.9,115
"5715",3,76.9,66.4,84.9,71.6,122
"5716",4,77.9,69.1,84.9,73,126
"5717",5,74.2,62.3,81,68,107
"5718",6,75.9,67.5,86,70,142
"5719",7,78.5,69.8,82.9,73.9,163
"5720",1,78.4,68.9,90,73,143
"5721",2,78.9,70.7,84.9,73.9,110
"5722",3,74.6,62.7,80.1,71.1,98
"5723",4,70.2,56.3,73.9,64.9,135
"5724",5,69.8,55.5,75,64,115
"5725",6,70.2,55.4,77,61,108
"5726",7,72.2,57.1,81,63,117
"5727",1,77.6,63,90,66.9,161
"5728",2,83.8,71.8,93,75.9,125
"5729",3,85.1,71.6,93,78.1,118
"5730",4,77.3,70.3,88,72,130
"5731",5,75.2,66.7,81,69.1,125
"5732",6,70.3,60.5,73,66.2,131
"5733",7,66.8,50.9,75.9,55.9,137
"5734",1,70.7,51.7,81,61,118
"5735",2,74.4,58.4,87.1,64.9,108
"5736",3,71.6,58.7,78.1,66.9,120
"5737",4,70.8,57.5,78.1,64,101
"5738",5,74.1,60.3,84,66,102
"5739",6,74.8,62.9,82.9,68,125
"5740",7,72,54.6,82,63,146
"5741",1,74.9,55,89.1,63,103
"5742",2,77.3,55.2,84.9,71.1,103
"5743",3,73.1,62.1,78.1,68,112
"5744",4,75,62.4,84.9,68,111
"5745",5,74,65.5,84,71.1,114
"5746",6,70.8,62.7,75.9,66.9,148
"5747",7,74,62,86,64.9,144
"5748",1,67.8,46.2,82,60.1,105
"5749",2,62.4,34.6,72,53.1,103
"5750",3,57.3,45.9,66,52,101
"5751",4,62.7,56,66.9,55.4,84
"5752",5,63.3,58.2,66,61,103
"5753",6,62.1,57.4,64.9,59,115
"5754",7,61.9,56.7,66.9,57.9,137
"5755",1,63.7,55.8,66.9,61,115
"5756",2,66.7,56.1,75,61,89
"5757",3,72.2,57.4,82,64.9,103
"5758",4,67.8,60.6,75,61,123
"5759",5,67,56.7,73,57.9,108
"5760",6,54.1,37.6,66,44.1,108
"5761",7,56.7,44.8,63,50,133
"5762",1,59.8,44.9,73,50,104
"5763",2,66.5,48.3,75.9,60.1,96
"5764",3,63.8,53.4,72,52,100
"5765",4,49.6,37,57.9,41,103
"5766",5,53.9,40.3,68,43,104
"5767",6,61.4,53,71.1,54,131
"5768",7,69.4,62.5,72,64.9,136
